Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,
3/03/2020,0.79,0.8094,0.7684,0.7732,0.712525,71936333,-0.77%,
4/03/2020,0.7764,0.7766,0.741,0.7502,0.691329,89433349,-2.97%,
5/03/2020,0.756,0.756,0.7108,0.7108,0.655021,95157560,-5.25%,
6/03/2020,0.7024,0.711,0.6824,0.6962,0.641567,49697949,-2.05%,
9/03/2020,0.6222,0.6544,0.5862,0.5862,0.540199,85135682,-15.80%,
10/03/2020,0.5988,0.6168,0.5416,0.5442,0.501495,100472228,-7.16%,
11/03/2020,0.554,0.584,0.5392,0.5532,0.509789,57817262,1.65%,
12/03/2020,0.519,0.5316,0.451,0.4554,0.419663,107473571,-17.68%,
13/03/2020,0.5094,0.532,0.473,0.5076,0.467767,56596657,11.46%,
16/03/2020,0.4768,0.4859,0.419,0.441,0.406393,88714166,-13.12%,
17/03/2020,0.507,0.507,0.435,0.4726,0.435514,43871365,7.17%,
18/03/2020,0.466,0.4916,0.422,0.4234,0.390175,44789471,-10.41%,
19/03/2020,0.4486,0.45,0.42,0.4261,0.392663,33588746,0.64%,
20/03/2020,0.4416,0.4486,0.414,0.4185,0.385659,43805843,-1.78%,
23/03/2020,0.4083,0.438,0.395,0.4207,0.387686,25270668,0.53%,
24/03/2020,0.444,0.4766,0.436,0.4766,0.4392,33473352,13.29%,
25/03/2020,0.52,0.5254,0.48,0.512,0.471822,29590760,7.43%,
26/03/2020,0.5024,0.5276,0.49,0.514,0.473665,21256138,0.39%,
27/03/2020,0.5048,0.506,0.4798,0.4841,0.446111,29264190,-5.82%,
30/03/2020,0.4777,0.482,0.4517,0.4559,0.420124,30115745,-5.83%,
31/03/2020,0.4707,0.4842,0.4584,0.469,0.432196,20478053,2.87%,
1/04/2020,0.45,0.458,0.4458,0.4488,0.432004,18119510,-0.04%,
2/04/2020,0.4513,0.4648,0.4303,0.4391,0.422667,19273981,-2.16%,
3/04/2020,0.44,0.44,0.426,0.426,0.410057,36617228,-2.98%,
6/04/2020,0.463,0.463,0.43,0.4375,0.421126,43811965,2.70%,
7/04/2020,0.452,0.475,0.44,0.4497,0.43287,26251392,2.79%,
8/04/2020,0.4453,0.4474,0.4302,0.4452,0.428538,69822080,-1.00%,
9/04/2020,0.4575,0.4599,0.4368,0.4436,0.426998,26364880,-0.36%,
14/04/2020,0.458,0.458,0.4313,0.4325,0.416314,26666616,-2.50%,
15/04/2020,0.4329,0.4335,0.4134,0.4143,0.398795,33439095,-4.21%,
16/04/2020,0.4173,0.42,0.3989,0.3992,0.38426,48628667,-3.64%,
17/04/2020,0.419,0.419,0.39,0.3909,0.376271,41872459,-2.08%,
